2,SV00002,Student00002,22,Hanoi,40
3,SV00003,Student00003,20,Can Tho,55
4,SV00004,Student00004,22,Hanoi,58
5,SV00005,Student00005,18,Hai Phong,11
6,SV00006,Student00006,19,Hai Phong,4
7,SV00007,Student00007,23,Da Nang,86
8,SV00008,Student00008,19,Can Tho,15
9,SV00009,Student00009,23,Can Tho,26
10,SV00010,Student00010,19,Hanoi,12
11,SV00011,Student00011,18,Hanoi,79
12,SV00012,Student00012,19,Hanoi,64
13,SV00013,Student00013,20,Hai Phong,41
14,SV00014,Student00014,23,Da Nang,88
15,SV00015,Student00015,23,Hai Phong,51
16,SV00016,Student00016,24,Da Nang,31
17,SV00017,Student00017,18,Ho Chi Minh,45
18,SV00018,Student00018,23,Hai Phong,79
19,SV00019,Student00019,19,Can Tho,29
20,SV00020,Student00020,19,Hanoi,76
21,SV00021,Student00021,25,Da Nang,46
22,SV00022,Student00022,22,Ho Chi Minh,57
23,SV00023,Student00023,18,Can Tho,28
24,SV00024,Student00024,22,Da Nang,80
25,SV00025,Student00025,19,Hai Phong,50
26,SV00026,Student00026,21,Da Nang,69
27,SV00027,Student00027,20,Da Nang,90
28,SV00028,Student00028,23,Ho Chi Minh,69
29,SV00029,Student00029,25,Can Tho,4
30,SV00030,Student00030,19,Ho Chi Minh,9
31,SV00031,Student00031,18,Hai Phong,2
32,SV00032,Student00032,25,Hanoi,71
33,SV00033,Student00033,19,Hai Phong,34
34,SV00034,Student00034,21,Da Nang,60
35,SV00035,Student00035,20,Hai Phong,10
36,SV00036,Student00036,21,Hai Phong,95
37,SV00037,Student00037,23,Hai Phong,11
38,SV00038,Student00038,22,Da Nang,81
39,SV00039,Student00039,22,Hai Phong,40
40,SV00040,Student00040,22,Can Tho,63
41,SV00041,Student00041,25,Hai Phong,20
42,SV00042,Student00042,20,Hai Phong,43
43,SV00043,Student00043,20,Hai Phong,42
44,SV00044,Student00044,21,Can Tho,51
45,SV00045,Student00045,24,Hanoi,26
46,SV00046,Student00046,25,Da Nang,73
47,SV00047,Student00047,23,Hai Phong,75
48,SV00048,Student00048,20,Can Tho,28
49,SV00049,Student00049,25,Hanoi,50
50,SV00050,Student00050,18,Hanoi,0
51,SV00051,Student00051,23,Hanoi,18
52,SV00052,Student00052,25,Can Tho,8
53,SV00053,Student00053,24,Da Nang,59
54,SV00054,Student00054,18,Da Nang,30
55,SV00055,Student00055,19,Hai Phong,82
56,SV00056,Student00056,22,Ho Chi Minh,18
57,SV00057,Student00057,22,Hanoi,20
58,SV00058,Student00058,22,Da Nang,11
59,SV00059,Student00059,19,Hai Phong,70
60,SV00060,Student00060,22,Da Nang,0
61,SV00061,Student00061,23,Can Tho,96
62,SV00062,Student00062,22,Hanoi,48
63,SV00063,Student00063,22,Hai Phong,65
64,SV00064,Student00064,24,Ho Chi Minh,16
65,SV00065,Student00065,23,Da Nang,60
66,SV00066,Student00066,21,Can Tho,15
67,SV00067,Student00067,24,Ho Chi Minh,22
68,SV00068,Student00068,19,Hai Phong,82
69,SV00069,Student00069,25,Hanoi,2
